Log for:C:/Users/56xsl/Obsidian/sense making/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2024-05-13T09:49:10Z
#=#=#=#=# Propagation starts 2024-05-13T09:49:11Z (last step: 188 msec , total: 188 msec) 
2024-05-13T09:49:09+00:00 | Things | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1713789912 |  | 0 | 5385065798oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1323e717-a30d-4fa8-a68b-042c969ccd22 | 
2024-05-13T09:49:10+00:00 | Politische Meinungsmache | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1714485285 |  | 0 | 5385065807oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fbc29301-fb48-435f-bd7d-3fcb124d6fa1 | 
2024-05-13T09:49:10+00:00 | People | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1713789920 |  | 0 | 5385065819oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1fabb8f3-0ea6-4e7c-8eff-df952913806c | 
2024-05-13T09:49:10+00:00 | daily reminder.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1711486165 | 54e941dd96c595838c5ab888c61630ad | 66 | 5385065831oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 763608e1-eb89-406d-9da5-2049a1145c16 | 
2024-05-13T09:49:10+00:00 | sense making.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712623243 | 9377f82b0695ad34340a9bbe76ca82cc | 2398 | 5385065846oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1d6951cf-6d14-4ff2-867b-466eb354ed59 | 
2024-05-13T09:49:11+00:00 | concepts, terms, definitions/distill.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1711299463 | 5d407cd13955d70d2265d106678c4c74 | 33 | 5385065855oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | da8f5576-b64d-43c6-9b87-2cad1943b6fb | 
2024-05-13T09:49:11+00:00 | concepts, terms, definitions/ACCESS.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712418306 | 567ae147ec27060393527e43dc322976 | 37 | 5385065891oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e26ab9a1-c6d8-4319-af60-811c932d51a2 | 
2024-05-13T09:49:11+00:00 | concepts, terms, definitions/organize.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1711299432 | 3c9aac0d8dc01a7bb6a9a52f37fe00f0 | 26 | 5385065882oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 48433938-5029-4881-a00f-4018179c3ea5 | 
2024-05-13T09:49:11+00:00 | concepts, terms, definitions/PARA System.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1705538920 | 5a014b6ff4cf9ea41f0b567aa911cdad | 1528 | 5385065852oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c2735ff1-e0cf-41b0-a914-d03e209cc063 | 
2024-05-13T09:49:11+00:00 | concepts, terms, definitions/CODE method.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1711299654 | 145953db313a8ace2ca5ad395ef75140 | 11308 | 5385065888oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 29422901-a67e-48c1-b4cf-3887efe44c67 | 
2024-05-13T09:49:11+00:00 | concepts, terms, definitions/spaced repitition.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1711485707 | bdd5a5f163f34505c1a7b136deb5a1fe | 77 | 5385065897oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 22058f2b-95e4-4959-bf99-7ed14608dab8 | 
2024-05-13T09:49:10+00:00 | concepts, terms, definitions | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1715361835 |  | 4096 | 5385065822oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1e072d95-af54-4a59-b9a8-2ca72878dbb3 | 
2024-05-13T09:49:12+00:00 | propositions, ideas, statements, opinions/6 hats of critism.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1713888910 | f7aebcd11f29b71e576e118afb746185 | 4485 | 5385065912oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1ffc5739-7926-4b36-95d7-220f748f94de | 
2024-05-13T09:49:12+00:00 | propositions, ideas, statements, opinions/CogXi Videos als Resource, das als Quelle abschließen.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615576 | b878f9d7020115fbec4223063f5dac4d | 171 | 5385065957oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | bed47595-5a54-4956-ae9e-03ce3ca55a84 | 
2024-05-13T09:49:12+00:00 | propositions, ideas, statements, opinions/Cytoscape.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615577 | 0dedbf295c1e707efaa32fdb732619cf | 1073 | 5385065963oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e5e0bbf9-5e41-49db-a5e1-07bade7ef319 | 
2024-05-13T09:49:12+00:00 | propositions, ideas, statements, opinions/DL.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615769 | 6d17787b4261f6319fefb0c978d4b5f5 | 2295 | 5385065972oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b6b829af-2e04-4183-8661-134c3a41b846 | 
2024-05-13T09:49:13+00:00 | propositions, ideas, statements, opinions/Debatte.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615577 | 0c9755831d66b0023e07822008b12586 | 43 | 5385065978oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 84b44903-c577-4c0a-8ef1-2c2bf6ddd0d0 | 
2024-05-13T09:49:13+00:00 | propositions, ideas, statements, opinions/Beziehungen.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615576 | 99180ee4d15f5728763675dfe23528f8 | 3301 | 5385065993oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 4bf7f1cd-626a-4ac9-bbd1-c565c15692a9 | 
2024-05-13T09:49:13+00:00 | propositions, ideas, statements, opinions/Extensible Markup Language.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615577 | b2a4136560195f6c744fcd5224c92a8e | 133 | 5385066005oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 0bfd0fa9-cc35-49b3-86a9-9980254c455d | 
2024-05-13T09:49:13+00:00 | propositions, ideas, statements, opinions/Fuzzy Logic.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615577 | 12d2220e493139afc8baad0360bf778a | 2215 | 5385066008oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b2ef8af8-171a-44a2-bd4a-1eb64b6c0784 | 
2024-05-13T09:49:13+00:00 | propositions, ideas, statements, opinions/Gödel's Incompleteness Theorem.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615577 | f915c943790f5b0d0c953310119ef3cf | 8545 | 5385066026oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 3957a3ac-974d-4bf2-8475-b2bf5a2531e5 | 
2024-05-13T09:49:13+00:00 | propositions, ideas, statements, opinions/FOL.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615577 | 9b11bcb2101fc81a35775253c3b97fa4 | 15396 | 5385065996oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 02823f3f-4ce2-4255-8528-d9e9b64584f9 | 
2024-05-13T09:49:14+00:00 | propositions, ideas, statements, opinions/I dont need PKM.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1711484626 | 4af576a46ae69aa7f2d183f17fb35678 | 0 | 5385066056oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e42ae0ac-6e47-4c2e-9aa8-0c45afe3d9da | 
2024-05-13T09:49:13+00:00 | propositions, ideas, statements, opinions/Higher Order Logic.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615577 | a23e805d3ee0a61bc15741159cf567ca | 11550 | 5385066017oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 5ba70b66-3d64-4ad2-92e6-0ec8ab6348aa | 
2024-05-13T09:49:14+00:00 | propositions, ideas, statements, opinions/Kontext.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615577 | 3263a9e2cc6e5b1bbc6681b7b92cd316 | 1753 | 5385066077oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2942b5d0-8327-4086-84a7-0b1ce9385ac8 | 
2024-05-13T09:49:14+00:00 | propositions, ideas, statements, opinions/Kausalität.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712270197 | 305b2f730321ad52463fe573647340d8 | 637 | 5385066080oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 9634cc14-67fe-4f3b-bba6-44d070532097 | 
2024-05-13T09:49:14+00:00 | propositions, ideas, statements, opinions/Abruf von Wissen.md | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Up | | 1712615576 | 526005f578cc970d297b79b9583f8172 | 10666 | 5385066068oc8d6fac567d | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 9a1456a8-5546-4365-9223-624b1cc05b73 | 
